,name,salary,description,skills,company,address
155,Младший специалист по аналитике,,"Обязанности:  Выполнение запросов бизнес заказчиков на уровне отдела продаж; Выпуск ежедневной, еженедельной, ежемесячной стандартной отчетности; Подготовка данных для проведения мотивационных программ; Подготовка презентаций к селекторам отдела продаж; Подготовка презентаций дивизиона для отчетных встреч, City Review;  Требования:  Знания Excel, Power Point (знание макросов и надстроек Power Pivot, Power Query, навыки работы с кубами OLAP приветствуется); Практические навыки работы с базами данных CRM; Навыки прогнозирования;  Условия:  Срочный трудовой договор на 9 месяцев до 31.12.2026; Официальное трудоустройство с первого дня по ТК РФ; Стабильная заработная плата; Пятидневная рабочая неделя с 09:00 до 17:30, выходные: суббота, воскресенье; Компенсация корпоративного питания в столовой компании; Реальные задачи и возможность влиять на процессы крупной Компании; Развитие под руководством опытного наставника; Скидки и привилегии от партнеров по программе BestBenefits.",[],Пивоваренная компания Балтика Стажировки,"Москва, Отрадная улица, 2Бс1"
156,Аналитик товарного запаса,от 200 000 ₽ за месяц на руки,"В связи с развитием сети и структуры отдела, Компания рассмотрит специалистов в отдел аналитики. У нас много проектов и задач по автоматизации и оптимизации процессов в структуре и цепочке закупа, управления товарными запасами. Уровень заработной платы обсуждается по результатам оценки компетенций. Просим указывать в резюме Ваши финансовые ожидания.   Обязанности:  Контроль и корректировка параметров работы АЗ (автозаказ). Контроль и анализ заполненности магазинов. Распределение товара по магазинам на основании анализа товарооборота. Оперативное решение возникающих проблем с поставками товара на магазины. Аналитическая отчетность.  Требования:  Знание Excel на уровне продвинутого пользователя (ВПР, сводные таблицы, ЕСЛИ и др.). Прогнозирование и опыт обработки больших массивов данных. Понимание работы ритейла, знание ключевых показателей используемых в товародвижении. Приветствуется опыт работы с 1С.  Условия:  Компания предоставляет все возможности для карьерного и профессионального роста. Готовы рассмотреть ВСЕ Ваши ожидания по условиям и мотивации. Работа в современном комфортном офисе Москва Сити (Башня ""Меркурий"") ст. м. Деловой центр, м. Выставочная. Стиль одежды - casual такой же удобный и комфортный как наш офис. График работы офисный 5/2, с 09:00 до 18:00, в течение дня можно отдохнуть в мягкой зоне и пообщаться с коллегами. Оформление согласно ТК РФ. Высокая, официальная, стабильная заработная плата (обсуждается на собеседовании, исходя из оценки профессиональных компетенций). Корпоративная мобильная связь. Продвинутое Online-обучение, разнообразие форматов и подходов. Возможность прямых коммуникаций с высшим менеджментом. Бесценный опыт работы в Компании, входящей в ТОП лидеров среди розничных Компаний рынка России. Экспертная поддержка в период адаптации. Перспектива профессионального развития, финансового и карьерного роста. Классная, драйвовая команда, дружная и продуктивная рабочая атмосфера. Ежегодно отмечаем День Рождения компании и поздравляем коллег с различными праздниками. Дизайнерский корпоративный мерч доступный каждому сотруднику (одежда и аксессуары).","['Управление товарными запасами', 'Прогнозирование', 'MS Excel']","Красное & Белое, розничная сеть","Москва, 1-й Красногвардейский проезд, 15"
157,Аналитик,,"ЗАО «Группа компаний С7» (S7 Group) — управляющая компания холдинга S7. Мы занимаемся стратегическим и коммерческим планированием, юридическим сопровождением, управляем финансами, маркетингом, пиаром и развиваем продажи. Сейчас мы находимся в поиске Аналитика в группу стратегического планирования. Нам очень хочется, чтобы сотрудники росли вместе с компанией, учились, развивались и повышали свою квалификацию. Всё это поможет достигать поставленных целей, которые ставит перед собой S7. Чем предстоит заниматься:  Планировать маршрутную сеть на горизонте до года; Искать нишевые рынки с маржинальностью выше средней, анализировать рынок и расписание конкурентов, участвовать в переговорах с аэропортами с целью снижения прямых затрат на рейсы; Взаимодействовать с отделом расписания по внедрению инициатив изменения маршрутной сети и коммерческим директоратом по управлению доходами и ценообразованию на рейсах;  Для нас важно:  Высшее образование; Навыки и фундаментальные знания в математическом анализе; Навык работы с массивами данных; Владение хорошими коммуникативными навыками;  Мы предлагаем: Условия работы:  Мы полностью соблюдаем трудовое законодательство Российской Федерации; Супер удобное расположение офиса - Петровка, 7; Пятидневный график работы в современном офисе класса А+; Корпоративная жизнь, насыщенная разнообразными событиями;  Карьера:  Профессиональное обучение, участие в тренингах и конференциях; Возможность развиваться, пробовать новое, проявлять инициативу, запускать свои проекты. Профессиональный и дружный коллектив, готовый делиться опытом и знаниями;  Корпоративные привилегии:  ДМС после испытательного срока; Диагностика, исследования, приёмы, консультации врачей и лечение – бесплатно. Стоматология и премиальные клиники – со скидкой до 75%; Возможность путешествовать всей семьей по специальным корпоративным тарифам на рейсах S7; Программа корпоративных скидок PrimeZone. Скидки от -5% до -80% у 1500+ партнёров по всей стране (развлечения, магазины, рестораны, фитнес, салоны красоты, турфирмы, онлайн-обучение, недвижимость и т.д.); «Понимаю» - программа психологической, финансовой и юридической поддержки сотрудников. Безлимитное количество консультаций; Программа здорового образа жизни S7 Impulse (бесплатные онлайн- и оффлайн-тренировки по разным видам спорта); Программы для детей сотрудников (-75% на путёвки в детские летние лагеря, подарки детям сотрудников на Новый год, Детские новогодние ёлки, подарки первоклассникам).","['Аналитическое мышление', 'Математический анализ']",S7 Group,"Москва, Кузнецкий мост, Охотный ряд, Театральная, улица Петровка, 7"
158,Продуктовый аналитик,от 180 000 до 250 000 ₽ за месяц на руки,"Мы Каршеринг BelkaCar — экономичная, удобная и безопасная альтернатива собственному автомобилю и такси. Ежедневно BelkaCar используют десятки тысяч человек, а общее количество зарегистрированных пользователей превышает шесть миллионов человек. Непростых и интересных задач у нас очень много, а цель одна: сделать лучший каршеринг на рынке. Нам нужен аналитик, который мог бы самостоятельно анализировать продукт и поведение пользователей, помогать определять и считать ключевые метрики, выявлять проблемы и предлагать способы их устранения, выдвигать и проверять гипотезы с помощью А/В тестов. Чем предстоит заниматься:  участвовать в разработке новых продуктов с продуктовой командой и командой разработки; разрабатывать систему отчётности с ключевыми метриками, участвовать в проектировании моделей данных для решения аналитических задач; анализировать и оптимизировать существующие бизнес-процессы, формировать предложения и решения; поиск точек роста продуктов и повышение эффективности бизнес процессов на основе анализа данных, проведение А/B тестов; поддерживать данными процессы принятия решений, выполненять ad hoc аналитики и запросов по необходимости.  Что ожидаем от вас:  высшее образование (МГУ, ВШЭ, МИФИ, МФТИ и аналогичные) опыт работы именно продуктовым аналитиком от 1 года (не системным или BI) в сфере транспорта, финансов или e-commerce хорошее знание математической статистики, умение видеть за числами физический смысл, находить причины и следствия явлений, докапываться до сути умение вести несколько проектов одновременно, взаимодействовать со внутренними заказчиками, самостоятельно формулировать и ставить задачи отличное владение SQL, владение Python для анализа данных (NumPy / SciPy / Pandas) понимание принципов построения BI, навыки работы с основными BI системами (Tableau или аналоги)  Мы предлагаем:   интересный, актуальный продукт и возможность влиять на весь рынок   возможность работать удаленно   супер-комфортную команду, поддержку руководителя в профессиональном развитии   гибкое начало рабочего дня   ДМС, корпоративный тариф на наш каршеринг для сотрудников и их друзей, 5 дополнительных отгулов в год","['SQL', 'Python', 'Анализ данных', 'А/В тесты', 'Математическая статистика']",BelkaCar,
159,Стажер в отдел бизнес-аналитики,до 68 000 ₽ за месяц до вычета налогов,"🔥 Стажер в отдел бизнес-аналитики — твой первый шаг в большой бизнес! Хочешь кайфовать от процессов, разбирать, как работает бизнес, и помогать компании принимать топовые решения? Тогда эта стажировка — для тебя! 🚀 Мы ищем стажера в бизнес-аналитику, который не просто хочет учиться, а готов врываться в тему и прокачивать скиллы вместе с нами. Чем будешь заниматься?  Крутить данные: исследуем рынок, конкурентов и процессы компании. Находить баги в бизнес-процессах (As-Is) и предлагать апгрейд (To-Be). Ставить задачи на автоматизацию и новые фичи. Рисовать схемы в BPMN (типа мемов, но полезных). Писать сценарии (Use Cases) и истории (User Stories) — почти как сторителлинг, только для бизнеса. Общаться с клиентами и качать soft skills. Принимать решения на основе данных — не просто ""нравится/не нравится"". Контролить разработку и тестировать, как настоящий QA. Копать вглубь: задавать ""Почему?"" и ""Зачем?"". Придумывать неочевидные решения — креатив приветствуется!  Что от тебя нужно?  Базовый Excel и BPMN (если не знаешь — научим, но основы должны быть). Желание учиться и не париться о сложных задачах. Умение работать в команде и не бояться фидбека. Логику и внимательность к мелочам (типо ""нашел баг — молодец""). Желание расти в бизнес-аналитике — не просто для галочки.  Почему с нами зайдет?  Опытные менторы, которые не кинут в свободное плавание. Реальная практика — не просто ""носи кофе"". Возможность перейти на полноценную работу после стажировки. Гибкий график и комфортный офис. Стажировка оплачивается — твой труд ценится!  Ждем именно тебя — вместе сделаем бизнес эффективнее и круче!","['MS Excel', 'BPMN']",Совкомбанк Страхование,"Москва, Динамо, Петровский парк, Ленинградский проспект, 35с1"
160,Младший аналитик данных (Развитие сети ПВЗ),,"Команда: Аналитика развития сети ПВЗ ОЗОН Чем занимаемся: Развиваем крупнейшую сеть пунктов выдачи заказов. Наша аналитика — фундамент стратегии: мы определяем вектор развития сети ПВЗ, находим рычаги повышения эффективности и выявляем зоны роста. Что предстоит делать:  Влиять на стратегию развития сети ПВЗ через данные. Работать с ключевыми метриками развития сети — от их формирования и улучшения до внедрения в процессы принятия решений. Создавать и поддерживать дашборды в Superset — от идеи до работающего инструмента для бизнеса. Проводить глубинную ad-hoc аналитику, выявлять зоны роста и проблемные места.  Кого ищем:  Бизнес-мышление: видите за цифрами бизнес-логику, умеете находить инсайты в данных и переводить их в конкретные решения. SQL: уверенные базовые знания, готовность писать запросы и разбираться в данных. Python: базовое владение pandas для обработки и анализа данных. Визуализация: опыт построения отчетности в Superset, Tableau, Power BI или аналогах. Инструменты: понимание принципов работы с Git и Airflow.",['Ozon офис и коммерция'],Ozon Офис и Коммерция,"Москва, Деловой центр, Деловой центр, Деловой центр, Москва-Сити, Пресненская набережная, 10блокС"
161,Стажер/Аналитик 1С,от 60 000 до 180 000 ₽ за месяц на руки,"Вас приветствует компания «Гензис»!Стажер/Аналитик 1СС 2012-го года мы разрабатываем, дорабатываем, внедряем и поддерживаем программное обеспечение на базе «1С:Предприятие». Мы аккредитованная IT-компания, официальный партнер фирмы 1С и имеем статусы «1С:Франчайзинг», «1С Центр реальной автоматизации», «Кандидат в 1С:Центр ERP». Предоставляем отсрочку от армии IT сотрудникам согласно Постановлению Правительства РФ от 28.03.2022 №490.У нас много работы, поэтому мы снова расширяем штат сотрудников. В данный момент мы ищем стажёра-аналитика 1С без опыта работы, нам подойдут кандидаты только закончившие технический ВУЗ, либо обучающиеся на последнем курсе, желающие стать высококвалифицированными IT специалистами. (Работа строго в офисе).На этой должности Вам предстоит:● общаться с клиентами компании;● анализировать механизм реализации поставленных задач;● передавать задачи программистам и контролировать качество выполняемой ими работы; Нам будет, что обсудить если Вы:● уже закончили технический ВУЗ по IT специальностям, или обучаетесь на последнем курсе;● готовы к активной плодотворной работе, желаете учиться и развиваться;● желателен опыт работы с 1С, высшее техническое образование.Кроме того, будет большим преимуществом, если Вы имеете опыт программирования, написания технической документации или работали в поддержке клиентов (подойдет опыт работы в call-центре).Наше предложение – лучшее на рынке для человека без опыта в профессии аналитика 1С. Почему мы в том уверены?Мы предлагаем выгодные и комфортные условия труда, а именно:● премии по итогам работы;● официальное оформление по ТК РФ;● оплачиваемое обучение;● премия в зависимости от количества отработанных задач и выставленных часов;● перспективу быстрого карьерного роста до Аналитика или Менеджера проекта по результатам работы;● возможность самостоятельно выбирать время начала рабочего дня в интервале с 8 утра до 11 утра;● предоставление отсрочки от армии IT сотрудникам (для военнообязанных), согласно постановлению Правительства РФ от 28.03.2022 №490;● просторный светлый офис в современном БЦ;● бесплатную парковку.● кухню в офисе с чаем, кофе и печеньками, несколько столовых в двух шагах; Нам важны потребности команды поэтому мы создаём комфортные условия для работы и саморазвития. Тем, кто вносит существенный вклад в развитие компании, выдаем опционы.Начните свой путь в компании, которая будет уважать и ценить Вас. Откликайтесь прямо сейчас и измените свою жизнь!","['1С: Предприятие 8', '1C: Бухгалтерия', '1С программирование', 'Бухгалтерский учет', 'уверенный пользователь ПК: MS Excel, Word, 1С.', 'SQL', '1С: Зарплата и управление персоналом', '1С: Управление Торговлей', '1С: Комплексная автоматизация', 'ERP-системы на базе 1С']",ООО Гензис,"Новомосковский административный округ, Румянцево, Киевское шоссе, 22-й километр, дв4с4кЕ"
162,Excel Аналитик,до 130 000 ₽ за месяц на руки,"Обязанности:  Сбор и обработка данных; Контроль, корректировка ввода данных; Ведение, обработка сводных таблиц в Microsoft Excel; Работа с отчетной документацией; Разработка форм отчетности; Ведение компаний.  Требования:  Образование высшее; Опыт работы с обработкой данных; Понимание электронно-вычислительной техники, комплектующих устройств и другого оборудования. Высокий уровень пользователя ПК, программ пакета M. Office, уклон на Excel;  Опыт работы Excel - продвинутый уровень: сводные таблицы, функции (ВПР для сравнения двух таблиц, построения выпадающего списка, обработки нескольких условий, подготовки сводного отчета, ИНДЕКС+ПОИСКПОЗ, СУММЕСЛИ и пр.);  Работа с большим объемом данных, свыше 30 тыс.строк в Excel; Способность быстро включаться в процесс работы и оперативно отрабатывать поставленные задачи; Коммуникабельность, умение четко доносить информацию.  Условия:  обучение специфике работы, наставничество. оформление и полное соблюдение ТК РФ; территориально м. Чистые пруды. график работы 5/2 с 10.00. до 19.00 (строго), работа в офисе заработная плата 130 000 (на руки) после испытательного срока",[],Общ. орг. Российское Авторское Общество,"Москва, Чистые пруды, Архангельский переулок, 12/8с1"
163,Аналитик данных клиентского опыта,от 300 000 ₽ за месяц до вычета налогов,"ЧЕМ ПРЕДСТОИТ ЗАНИМАТЬСЯ:    Анализ текущего состояния бизнес-процессов, описание существующих бизнес-процессов, сбор требований к бизнес-процессу - выявление и анализ проблем по ним Реализация проектов оптимизации процессов и совершенствования систем Написание пользовательских историй и диаграмм использования Разработка критериев результативности бизнес-процессов Оцифровка и участие в исследованиях клиентского опыта Подготовка данных для отчетов и презентаций Автоматизация отчетности, работа с Tableau и BI, использование инструментов ИИ для автоматизации Взаимодействие с бизнес подразделениями в решении вопросов клиентского сервиса и клиентского опыта    НАШИ ПОЖЕЛАНИЯ К СОИСКАТЕЛЮ:  Высшее образование Опыт работы от 3 лет бизнес-аналитиком в проектах по оптимизации/стандартизации процессов или продуктов Банка/МФО Опыт подготовки требований, технических заданий, приемки результатов разработки, написания тест-сценариев, организации и проведения тестирования сквозных процессов Навык написания User Story, описания бизнес-процессов в формате As is/To be Опыт в применении инструментов автоматизации процессов и задач (ИИ, Опыт в применении инструментов автоматизации процессов и задач (ИИ, Tableau и BI)","['Анализ данных', 'Описание бизнес-процессов', 'Подготовка презентаций']",АО Банк ДОМ.РФ Другие подразделения,"Москва, Гражданская, Динамо, Петровский парк, ЦСКА, Ленинградский проспект, 35с1"
164,Младший менеджер по маркетплейсам/Начинающий специалист/Аналитик по маркетплейсам,от 80 000 до 120 000 ₽ за месяц на руки,"Только ОФФЛАЙН, м. Братиславская Приветствуем всех желающих присоединиться к нашей команде LUBRAN! Мы компания, реализующая товары на маркетплейсах в таких крупных отраслях как: бытовая техника и товары для дома. Оборот нашей компании за 2025 год вырос в 2 раза и мы не собираемся останавливаться на достигнутом. Сейчас нам нужен не просто «помощник», а менеджер, который возьмет на себя операционное управление и продвижение.   Кого мы ищем: - Уверенный пользователь Excel/Google Sheets: сводные таблицы, ВПР, логические функции — не просто ""умею забивать цифры"" - Способен к анализу: не просто смотришь на цифры, а видишь в них причины роста или падения. - Готов к офлайн-работе 5/2: Мы за живое общение и скорость решений, которые дает работа в одной команде. - Усидчив и внимателен: Работа с карточками товаров требует внимания к деталям и не терпит спешки. - Обучаем: Опыт приветствуется, но важнее твоя ""голова"" и желание разбираться. Мы научить можем, но для этого требуется твой высокий уровень вовлеченности.   В ваши обязанности входит:  Полное ведение личного кабинета Создание и редактирование карточек товара SEO оптимизация Продвижение товаров в ТОП Создание стратегий развития товаров Ценообразование, анализ конкурентов, работа с акциями Аналитика, работа с отчетами Задачи разнообразные и могут меняться    Мы предлагаем:  Работа в офисе у метро Братиславская (6 минут пешком). Это наш осознанный выбор для быстрого роста команды. График: 5/2 с 10:00 до 19:00 Возможность самореализации и тестирование собственных гипотез Карьерный рост, если вы показываете результат Постоянное развитие профессиональных навыков Оплата: оклад + KPI (прозрачная система начисления, премия за перевыполнение). Стажировка: оплачиваемая, длится 1 месяц Стабильные выплаты 2 раза в месяц Обучение: мы вкладываемся в тебя (наставничество, курсы за счет компании). Взамен ждем отдачи. Атмосфера: мы много работаем, но и отдыхаем вместе (настолки, корпоративы — по желанию). Свободный (адекватный) дресскод  !!Если вы внимательно ознакомились с вакансией, просим вас написать нам в сопроводительном письме 3 ваших достижения!! Желаем вам успехов на собеседовании!",[],LUBRAN,"Москва, Братиславская, Марьино, Братиславская улица, 20"
165,Ведущий специалист (аналитик),от 165 000 ₽ за месяц до вычета налогов,"Обязанности:   Оценка эффективности продаж.   Проведение анализа потребителей.   Оценка проектов.   Анализ деятельности компании.   Требования:   Высшее образование (желательно экономическое или математическое).   Опыт работы в аналитических и/или финансовых подразделениях компаний.   Знание общих методов статистического, количественного анализа, эконометрики и опыт их применения.   Продвинутый уровень владения Excel, (в т.ч. Power Query), Power BI, работа с базами данных. Знание макросов и SQL – будет преимуществом.   Умение работать с большим объемом информации, знание нефтегазовой отрасли.   Условия:  Возможность работать в крупнейшей компании - лидере топливного рынка. Официальное трудоустройство. ДМС после испытательного срока. Офис в шаговой доступности от метро Шаболовская.",[],АО РН-Москва,"Москва, Малая Калужская улица, 15с28"
166,Категорийный менеджер / товарный аналитик,от 200 000 до 300 000 ₽ за месяц на руки,"LA VIVION – это международный ювелирный бренд, основанный в 1668 году во Франции. На сегодняшний день мы лидеры на рынке ювелирных изделий с сертифицированными бриллиантами в Москве и России. У нас свое собственное производство и большой выбор сертифицированных GIA бриллиантов, обладающих максимальной ликвидностью. Качество наших изделий на уровне именитых мировых брендов, мы гарантируем полное отсутствие брака и максимально дорожим своей репутацией.Мы создаём ювелирные украшения, которые становятся частью жизни наших клиентов, напоминают о самых важных событиях и дарят невероятные эмоции.Наша компания постоянно развивается и охватывает все большую долю рынка, завоевывая сердца клиентов. Мы работаем, соблюдая все нормы Российского законодательства (это касается и клиентов, и сотрудников, и нашего товара). Мы экологичны на 360° для всех наших партнеров. Приглашаем вас присоединиться к нашей команде профессионалов. Чем предстоит заниматься: Выстроить систему управления ассортиментом на основе данных: от аналитики и структуры матрицы до логики ценообразования и регулярной отчетности. Ключевые задачи:  Анализ продаж, остатков, оборачиваемости и эффективности SKU; Выявление точек роста, неликвидов и пробелов в ассортименте; Формирование и развитие ассортиментной матрицы; Участие в разработке системы ценообразования; Построение регулярной управленческой отчетности; Участие в стандартизации товарной базы и атрибутов; Поддержка прогнозирования спроса и планирования ассортимента; Подготовка рекомендаций для управленческих решений.  Требования:  Опыт в товарной аналитике или категорийном менеджменте от 2 лет; Уверенный Excel / Google Sheets; Понимание ключевых метрик: выручка, маржа, оборачиваемость; Навык работать с ассортиментной матрицей и данными; Системное мышление и внимательность; Опыт в retail / e-commerce / fashion / jewelry — плюс.  Будет плюсом:  Опыт работы с ценообразованием; Участие в стандартизации товарной базы; BI-инструменты, SQL.  Что вы получите:  Влияние на ключевые товарные решения компании; Возможность выстроить систему с нуля; Сильные задачи на стыке аналитики и бизнеса; Работа в комфортном офисе в центре Москвы (5 минут от м. Комсомольская), 5/2, гибкое начало дня; Белая заработная плата (обсуждается по результатам собеседования); Обучение, курсы, командные проекты; Уютная атмосфера, праздники, креативные активности и поддержка; Корпоративные подарки для сотрудников и детей; Оформление корпоративного ДМС — по истечении первого года работы.",[],ООО ЛАВИВИОН,"Москва, Комсомольская, Комсомольская, Площадь трёх вокзалов, Площадь трёх вокзалов, Каланчёвская улица, 16с1"
167,Data Analyst (Marketing & Product),от 160 000 ₽ за месяц на руки,"Добрый день, дорогой кандидат!Мы — онлайн-школа «Точка Знаний» — резидент Сколково и аккредитованная IT-компания. Мы совершенствуем нашу образовательную it-платформу каждый день, чтобы сделать качественное образование доступным для школьников по всей России и за её пределами.Наша миссия — помогать детям с 1 по 11 класс восполнять пробелы в знаниях, готовиться к успешной сдаче ОГЭ и ЕГЭ, а также осваивать новые навыки: программирование, дизайн, создание сайтов и дополнительные иностранные языки, включая китайский и французский! С полным списком наших курсов можно ознакомиться на сайте: https://tochka-school.ru/. За два года мы:✔️ увеличили количество учеников, сотрудников и преподавателей в 5 раз, — сейчас в команде уже 450+ человек;✔️ вошли в топ-15 EdTech компаний России в детском образовании и в топ-3 самых быстрорастущих онлайн-школ;✔️ стали «Лучшей онлайн-школой года» по версии GetAward;✔️ запустили собственную образовательную it-платформу;✔️ получили статус резидента Сколково и аккредитованной IT-компании. Наши ценности:— Честность. Компания всегда выполняет свои обязательства перед сотрудниками, и ожидает от них взаимности;— Поддержка. В компании существует разработанная система онбординга и адаптации, для мягкого погружения в должность;— Скорость принятия решений. Компания очень быстро развивается и у сотрудников есть возможность влиять на это развитие!— Но главная наша ценность - это люди! Мы верим в людей и доверяем им. Мы высоко ценим вклад каждого сотрудника в наше общее дело. Поддерживаем, окружаем заботой и вниманием❤️ В связи с развитием компании и открытием новых направлений мы ищем аналитика данных. Основные задачи: Маркетинговая аналитика:✔️ Сбор и консолидация данных из рекламных кабинетов (Яндекс.Директ, VK, Телеграм, AmoCrm, Google Sheets и др.);✔️ Построение сквозной аналитики;✔️ Расчет ROMI, CAC, LTV;✔️ Подготовка регулярных отчетов для отдела маркетинга;✔️ Выявление точек роста в рекламных кампаниях;✔️ Работа с etl-системой, сбор и верификация данных, рефакторинг.Продуктовая аналитика: ✔️ Коммуникация с руководителями смежных отделов, помощь в формировании ТЗ и их выполнение;✔️ Поддержка и доработка существующих дашбордов в BI-системах;✔️ Анализ воронок продукта, поведения пользователей (ретеншн, вовлеченность);✔️ Участие в подготовке данных для A/B-тестов. Необходимые навыки:✔️ Обязательно опыт работы дата-аналитиком от 2-х лет;✔️ Отличное знание SQL;✔️ Опыт работы с BI-системами DataLens и SuperSet;✔️ Понимание метрик продуктовой аналитики (Retention, ARPU, LTV) и маркетинговых метрик (CAC, ROMI, CPA);✔️ Работа с dbt, Airbyte, AirFlow.✔️ Продвинутый уровень работы в Google Sheets, включая работу с Apps Script.✔️ Опыт работы с GitHub, Gitea.✔️ Опыт в a/b-тестировании. ✔️ Опыт работы с API рекламных площадок и системами сквозной аналитики, а также базовое знание Python — будут Вашим преимуществом 🙌🏻 Мы предлагаем:✔️ Удаленную работу, с графиком: 5/2, с 10.00 до 19.00 по Мск, выходные - суббота, воскресенье;✔️ Оформление по ТК РФ/ГПХ;✔️ Стабильный доход: от 160 000 руб. на руки;✔️ Своевременные выплаты, никаких задержек!✔️ Адаптация и поддержка во время работы;✔️ Возможность бесплатного обучения Ваших детей на 1 одном курсе бесплатно, на втором и последующем со скидкой 50%;✔️ Слаженный и дружный коллектив профессионалов единомышленников, у которых можно учиться новому;✔️ Открытость к диалогу руководства. Если все вышесказанное про Вас, скорее откликайтесь и до встречи на собеседовании!Будем рады видеть Вас в нашей команде!","['SQL', 'DataLens', 'A/B тесты', 'Сквозная аналитика']",ООО ТОЧКА ЗНАНИЙ,
